"Sitio","SitioNombre","PCvisits","Survey","WOTH","GWWA","Coffee.x","IDENT","LAT","LONG","Y_PROJ","X_PROJ","ALTITUDE","Sistema","AMACYC*","BASRUF","BUTMAG","CANMOD","CARPUS","CYCGUJ","HYLLEU","HYLMUS","ICTCHR","ORTVET","PSAWAG","PSIMOR","SALATR","SETGRA","SETVIR","SPINOT","TROAED","CORATR","EMPFLT*","MNIVAR","PSAMON","TROCAL","ACCCHI","AIMRUS*","AMAALB","CAMZON","CONCOO","CYASTE","EUPNAN","MELFOR","MYIPIC","PENNIG","PIRRUB","SEIAUR","VIRPHI","CROSUL","DIVDIV","GLABRA","MELAUR","MYILUT","PITSUL","SETCIT","SETMAG","SETRUT","TURGRA","ARCCOL","CAEAUR*","CYAMEL","EMPMIN","FALSPA","BUTANT","MOMMOM","TITSEM","ZENASI","BUTPLG*","CAMGUA","ICTPLU","OREPER","SETPEN","STRZON","VERCRY","VIRFLF*","VIRSOL","QUIMEX","RAMSUL","XIPFLA","CHLFLP*","LAMSYB","MIOOLE","MYAUNI","MYIMIN","SITGRI","AULPRA","HYLDEC","TOLSUL","ATTSPA","COLRUB","LEPSOU","MYITUB","SETPIM*","BUTALN*","LEPVEX*","AMARUT","DUMCAR","HENLEU","SALMAX","AMBHOL","BASCUL","EUPEXI","HENLES*","MICPHI","ONCCIN","VERPIN","VIRPLU","MYISIM","CHLOCC","PIACAY","SETFUS","CATAUN*","DRYLIN","PHASTR","HABRUB","PATFLA","AMABER","HABFUS","MEGPIT","THRRUL*","PTETOR","MYIVIR","CRYSOU","PSIHOL","TAPNAE","BUTBRA","CATUST","TIAOLI","ELAFOR","PIOSEN","EUMSUP","EUPHIR","ICTGAL","MYICRI","CHAVAU","FALRUF","BUTPLT*","CERTYR","SETCAE","ANAVAR","PIRFLA","POLCAE","ELALEU","SARPAP","SETDOM","EUPELE","CHLCAV*","GEOFOR","NYCALB","Area_Basal","Group_cover","Subcanopy","Altitude","Aspect","Pforest","Sforest","Coffee.y"
"15","Finca de Allan",6,4,2,1,1,"15C-PT",15.1549924,-87.50195414,1675530.71213524,446074.64851905,1270,"C",2,2,0,4,0,0,0,2,2,0,2,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0772958434861,-0.341031211587769,0.419781530105643,0.592103228481128,0.0428598240063086,-0.309667736406426,-0.664446995065026,0.898776232743813
"16","Bosque de Allan",6,3,0,1,0,"16F-PT",15.16482789,-87.50223292,1676618.68123003,446047.19217772,1200,"F",2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.473065083343438,0.378507168905106,-0.306327062509523,0.287670658060839,-1.41169545320779,-0.309667736406426,1.08868165153361,-0.984459867576389
"18","Finca de Norma 2",6,3,1,1,0,"18F-PT",15.18655563,-87.46586401,1679013.33701211,449959.34718041,856,"F",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.750684621787365,0.0187379786586685,0.0567272337980598,-1.20839797371887,-0.101792082014983,-0.309667736406426,1.29096572614114,-0.984459867576389
"19","Finca de Mario",6,4,2,0,1,"19C-PT",15.14629039,-87.50387502,1674568.65966339,445866.06978641,1141,"C",0,0,0,0,0,0,0,0,0,0,4,2,2,0,2,0,0,0,2,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36412303871196,-0.341031211587769,0.419781530105643,0.0310774915637376,0.958988562141153,-0.309667736406426,-0.956635102831465,0.898776232743813
"22","Finca de Julio",6,3,1,1,1,"22C-PT",15.16748412,-87.43743637,1676897.55126603,453008.73094429,984,"C",0,0,0,0,1,0,0,0,0,0,1,2,1,0,2,0,0,0,4,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,5,4,3,0,2,0,0,0,0,0,0,0,0,0,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.522056766598248,-1.6002233774503,1.69047156718218,-0.651721273521769,-0.0776834310114341,-0.309667736406426,-0.731875019934204,0.963715408616923
"23","Encino Rd 3",6,3,0,1,0,"23F-PT",15.18012428,-87.47953339,1678305.14148622,448489.46580506,885,"F",0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158093729652048,1.2779301445212,-1.21396280327848,-1.08227590883046,-1.32329706619477,-0.309667736406426,0.616685477449358,-0.984459867576389
"24","Finca de Maria",6,4,2,1,1,"24C-PT",15.15699852,-87.48480745,1675748.46074525,447917.26149682,1231,"C",0,0,0,0,2,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,4,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.873163829924392,-1.24045418720386,1.3274172708746,0.422490796389824,1.44116158221212,-0.309667736406426,-0.664446995065026,1.11524015232085
"25","Bosque bajo south 2",6,41,1,1,0,"25F-PT",15.17439541,-87.48336878,1677672.3801148,448076.06767949,966,"F",0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163826798969101,1.09804554939798,-1.03243565512469,-0.730003934486986,-0.784870527115524,-0.309667736406426,1.29096572614114,-0.984459867576389
"26","Sendero La Montana",6,3,0,1,0,"26F-PT",15.17922071,-87.49474855,1678208.83667714,446854.82249522,972,"F",2,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35875115574888,1.63769933476764,-1.57701709958606,-0.703909714165247,0.862553958126959,-0.309667736406426,1.29096572614114,-0.984459867576389
"27","Finca de Vincente",6,4,2,1,1,"27C-PT",15.1527701,-87.42137379,1675266.67052727,454731.13870755,1154,"C",0,1,4,0,1,0,0,0,0,0,2,0,4,0,2,0,0,0,2,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,5,5,0,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.505726205513312,-0.880684996957425,0.964362974567017,0.0876149689275056,-1.24293489618295,-0.309667736406426,-0.956635102831465,1.18017932819396
"29","Finca de Alonzo",6,3,1,1,1,"29C-PT",15.13795098,-87.43077661,1673629.51250375,453717.74247141,1212,"C",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,3,0,0,0,3,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,3,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32713240981847,-1.6002233774503,1.69047156718218,0.339859098704317,0.991133430145884,-0.309667736406426,-0.956635102831465,1.18017932819396
"30","Finca de Alan",6,4,1,1,0,"30F-PT",15.15327562,-87.50238597,1675340.92603156,446027.8203512,1196,"F",0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179114983814574,-0.341031211587769,0.419781530105643,0.270274511179679,0.444670674065451,-0.309667736406426,1.29096572614114,-0.984459867576389
"32","Suntular",5,3,1,0,0,"32F-PT",15.23210088,-87.43734878,1684044.739564,453032.44444774,836,"F",2,0,1,0,0,0,0,0,0,0,0,4,0,0,3,2,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,-0.424073400088627,0.918160954274762,-0.850908506970897,-1.29537870812467,0.444670674065451,-0.309667736406426,0.841445560346619,-0.984459867576389
"33","Suntular 2",5,3,0,0,0,"33F-PT",15.22893721,-87.44089399,1683695.57416798,452651.0050122,812,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,-0.848667988296986,0.0187379786586685,0.0567272337980598,-1.39975558941162,0.0428598240063086,-0.309667736406426,1.29096572614114,-0.984459867576389
"34","Quebrada Larga",6,41,0,1,0,"34F-PT",15.20673405,-87.52409963,1681259.43685695,443709.19305717,1128,"F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.816006866127112,0.378507168905106,-0.306327062509523,-0.0254599858000305,-0.817015395120256,-0.309667736406426,1.29096572614114,-0.984459867576389
"35","Quebrada Larga CF",6,4,2,1,1,"35C-PT",15.20274536,-87.52034747,1680817.28275383,444111.15175441,1017,"C",0,0,3,0,2,0,0,0,0,0,2,5,0,0,5,0,0,0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,-0.603709572022933,-0.520915806710988,0.601308678259434,-0.508203061752204,-1.28311598118886,-0.309667736406426,-0.956635102831465,1.18017932819396
